ID,RADEG,DECDEG,CLASS
NB85,10.6241292,41.2175611,6.0
NB86,10.6448083,41.1974111,6.0
NB87,10.6878,41.3171639,6.0
B074D,10.69915,41.2485722,6.0
NB89,10.6865792,41.2456139,1.0
NB90,10.6879708,41.2252278,6.0
NB91,10.6647583,41.2181389,6.0
NB92,10.695725,41.2023417,6.0
B080D,10.7256667,41.2705833,6.0
NB94,10.7063917,41.2613778,6.0
NB95,10.7002083,41.2602194,6.0
B075D,10.7034417,41.2536444,6.0
NB97,10.7320417,41.2425833,6.0
NB98,10.7380417,41.239,6.0
NB99,10.734125,41.2241944,6.0
NB100,10.7382917,41.2198611,6.0
NB101,10.7120458,41.2085722,6.0
NB102,10.6202292,41.297375,6.0
NB103,10.7250417,41.25575,6.0
NB104,10.7329583,41.2379583,6.0
NB105,10.6564167,41.3073611,6.0
NB106,10.7432917,41.2365278,6.0
NB107,10.6261417,41.2555,6.0
NB108,10.622,41.2543333,2.0
AU007,10.703825,41.2779361,6.0
AU008,10.7040083,41.3031278,1.0
AU010,10.7421792,41.2812417,1.0
B001D,9.9754625,41.3864306,2.0
B002D,10.0150958,41.5510611,4.0
B003D,10.1040833,41.2064389,6.0
B004D,10.1095167,41.2285,4.0
B005D,10.1369292,41.5784111,6.0
B006D,10.1557625,40.8126444,1.0
B007D,10.1564875,40.8032444,6.0
B008D,10.1876083,40.9821333,6.0
B009D,10.2082625,41.0277722,2.0
B010D,10.2128,41.2513611,1.0
B011D,10.21515,40.7350306,1.0
B012D,10.2177583,40.9781194,1.0
B013D,10.2384333,41.4566639,4.0
B014D,10.2543708,41.1091083,1.0
B015D,10.2613708,41.1100667,1.0
B016D,10.2803083,40.8369778,2.0
B017D,10.2917083,40.969625,1.0
B018D,10.310275,41.7544139,6.0
B019D,10.3172083,41.0855111,1.0
B021D,10.3573958,41.1719833,6.0
B022D,10.3750417,41.2887028,3.0
B023D,10.3901125,41.3589944,4.0
B024D,10.3915708,41.0235278,2.0
B025D,10.3928417,41.0183139,4.0
B026D,10.3931667,41.0138139,4.0
B027D,10.4043,41.7576333,6.0
B029D,10.4103292,41.7203833,6.0
B030D,10.4227792,41.0522167,6.0
B032D,10.441525,41.2170639,1.0
B033D,10.4495417,41.0667194,6.0
B034D,10.4588833,40.863025,6.0
B035D,10.4602583,41.3342389,1.0
B036D,10.49455,41.7514417,6.0
B037D,10.4962292,41.3661111,6.0
B038D,10.5017708,41.20395,2.0
B039D,10.5081792,40.7968417,6.0
B040D,10.5178917,41.3020361,1.0
B041D,10.5196667,41.2798167,1.0
B042D,10.5253333,41.0465917,4.0
B043D,10.5274167,41.3017306,4.0
B044D,10.5296292,41.0045972,4.0
B045D,10.5411583,41.3540333,1.0
B046D,10.5436083,41.2643083,6.0
B047D,10.5471583,41.4983889,6.0
B048D,10.5523292,40.8105083,6.0
B049D,10.5674208,41.1358806,6.0
B050D,10.5721417,41.1280639,6.0
B051D,10.5856208,41.0771972,1.0
B052D,10.58705,41.0765806,6.0
B055D,10.61395,40.8247667,6.0
B056D,10.6182,41.5742111,1.0
B057D,10.628025,41.3476528,6.0
B058D,10.628725,41.3767472,6.0
B059D,10.6289083,40.9049806,6.0
B060D,10.6328292,41.3451694,6.0
B061D,10.6356417,41.3616361,1.0
B062D,10.6416917,40.9042139,4.0
B063D,10.6458625,40.8108972,6.0
B064D,10.64805,41.2428389,1.0
B066D,10.6604292,40.8301667,4.0
B067D,10.6624708,41.6120333,1.0
B068D,10.66625,41.3444222,1.0
B069D,10.6685125,41.3622889,6.0
B070D,10.6821583,41.3561667,6.0
B071D,10.68885,41.362,6.0
B072D,10.6907917,41.4575,1.0
B073D,10.6926333,40.8099722,6.0
B076D,10.7058583,40.88095,6.0
B077D,10.709625,40.8470833,6.0
B078D,10.7160875,41.3681417,1.0
B079D,10.7247,40.7788972,6.0
B081D,10.7298875,41.0519611,3.0
B082D,10.7314583,41.3415806,6.0
B083D,10.7303875,41.0364917,6.0
B084D,10.7354583,41.3034167,6.0
B085D,10.7358708,40.8703417,6.0
B086D,10.7367125,40.8560694,6.0
B087D,10.7455375,41.1524528,1.0
B088D,10.7474083,41.0714917,1.0
B089D,10.7556667,41.44,1.0
B090D,10.7549833,41.2694972,1.0
